dataset,subset,cluster_id,cluster_size,node_id,file_path,language,source_element_path
KMT,body_en,body_en_cluster_dita_body:7e52267d9570808e7d75,3,dita_body:7e52267d9570808e7d75,en/KA-01029_EN/ka-01029_delete_future_address_andor_direct_deposit.dita,en,en/KA-01029_EN/ka-01029_delete_future_address_andor_direct_deposit.dita#/taskbody
KMT,body_en,body_en_cluster_dita_body:7e52267d9570808e7d75,3,dita_body:4db21a137f9da3a8e1dc,en/KA-01029_EN/ka-01029_what_you_need_to_do.dita,en,en/KA-01029_EN/ka-01029_what_you_need_to_do.dita#/taskbody
KMT,body_en,body_en_cluster_dita_body:7e52267d9570808e7d75,3,dita_body:008c9141759b642adffd,en/KA-01445_EN/ka-01445_delete_future_address_andor_direct_deposit_new.dita,en,en/KA-01445_EN/ka-01445_delete_future_address_andor_direct_deposit_new.dita#/taskbody
KMT,body_en,body_en_cluster_dita_body:0988603d05b2d1554aa3,3,dita_body:e6c4f0836402de6f134f,en/KA-01037_EN/ka-01037_periodic_payments.dita,en,en/KA-01037_EN/ka-01037_periodic_payments.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:0988603d05b2d1554aa3,3,dita_body:0988603d05b2d1554aa3,en/KA-05368_EN/ka-05368_whats_new.dita,en,en/KA-05368_EN/ka-05368_whats_new.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:0988603d05b2d1554aa3,3,dita_body:fb4d1129f7eacc2ddc2a,en/KA-05369_EN/ka-05369_whats_new.dita,en,en/KA-05369_EN/ka-05369_whats_new.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:0e86d71e00af406d9ba8,2,dita_body:0e86d71e00af406d9ba8,en/KA-01037_EN/ka-01037_reinstate_a_cancelled_oas_benefit.dita,en,en/KA-01037_EN/ka-01037_reinstate_a_cancelled_oas_benefit.dita#/refbody
KMT,body_en,body_en_cluster_dita_body:0e86d71e00af406d9ba8,2,dita_body:4bba2cb4f1e1bf50b09e,en/KA-01077_EN/ka-01077_reinstate_new.dita,en,en/KA-01077_EN/ka-01077_reinstate_new.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:742deb6df3f556fd8202,en/KA-01037_EN/ka-01037_reinstate_a_cancelled_or_terminated_cpp_ae0dcb4c.dita,en,en/KA-01037_EN/ka-01037_reinstate_a_cancelled_or_terminated_cpp_ae0dcb4c.dita#/refbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:9200483860442f19f0f6,en/KA-01037_EN/ka-01037_release_a_suspended_cpp_benefit_updated.dita,en,en/KA-01037_EN/ka-01037_release_a_suspended_cpp_benefit_updated.dita#/refbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:157bbdafdf7a869731bb,en/KA-01037_EN/ka-01037_release_a_suspended_gis_alw_benefit_or__2465b9cf.dita,en,en/KA-01037_EN/ka-01037_release_a_suspended_gis_alw_benefit_or__2465b9cf.dita#/refbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:a04978bc4f3cc336dccd,en/KA-01037_EN/ka-01037_release_a_suspended_oas_benefit.dita,en,en/KA-01037_EN/ka-01037_release_a_suspended_oas_benefit.dita#/refbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:b0db875025c619c57d6d,en/KA-01037_EN/ka-01037_summary.dita,en,en/KA-01037_EN/ka-01037_summary.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:cd85e6c303a589bb6ea1,en/KA-01037_EN/ka-01037_what_you_need_to_know.dita,en,en/KA-01037_EN/ka-01037_what_you_need_to_know.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:87929a58a53da7917f39,en/KA-01077_EN/ka-01077_reinstate.dita,en,en/KA-01077_EN/ka-01077_reinstate.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:320467c3ff9c0e4fa3b9,en/KA-01077_EN/ka-01077_release.dita,en,en/KA-01077_EN/ka-01077_release.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:e32a21edeab182e212f4,en/KA-01077_EN/ka-01077_release_new.dita,en,en/KA-01077_EN/ka-01077_release_new.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:2b29be1f7cacd3ef6f26,en/KA-03391_EN/ka-03391_policy.dita,en,en/KA-03391_EN/ka-03391_policy.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:a04978bc4f3cc336dccd,11,dita_body:d2da169d842af76abae3,en/KA-03391_EN/ka-03391_reinstating_cpp_pensions_and_benefits.dita,en,en/KA-03391_EN/ka-03391_reinstating_cpp_pensions_and_benefits.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:f20b63188d6378b1c81a,3,dita_body:e828c2b32a191b6ed615,en/KA-01037_EN/ka-01037_reinstate_or_release_the_cpp_benefit.dita,en,en/KA-01037_EN/ka-01037_reinstate_or_release_the_cpp_benefit.dita#/taskbody
KMT,body_en,body_en_cluster_dita_body:f20b63188d6378b1c81a,3,dita_body:f20b63188d6378b1c81a,en/KA-05189_EN/ka-05189_correcting_the_discrepancy_in_itrds.dita,en,en/KA-05189_EN/ka-05189_correcting_the_discrepancy_in_itrds.dita#/taskbody
KMT,body_en,body_en_cluster_dita_body:f20b63188d6378b1c81a,3,dita_body:f3c8d748628abb82e8a0,en/KA-05227_EN/ka-05227_reinstate_cpp_benefits_in_itrds.dita,en,en/KA-05227_EN/ka-05227_reinstate_cpp_benefits_in_itrds.dita#/taskbody
KMT,body_en,body_en_cluster_dita_body:94d2e2dc0b229e4550d7,4,dita_body:94d2e2dc0b229e4550d7,en/KA-01037_EN/ka-01037_was_the_date_of_death_on_a_terminated_a_f47b9ff5.dita,en,en/KA-01037_EN/ka-01037_was_the_date_of_death_on_a_terminated_a_f47b9ff5.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:94d2e2dc0b229e4550d7,4,dita_body:864420cb7033e9b43fa3,en/KA-01062_EN/ka-01062_was_a_date_of_death_entered_on_the_clie_038ab29b.dita,en,en/KA-01062_EN/ka-01062_was_a_date_of_death_entered_on_the_clie_038ab29b.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:94d2e2dc0b229e4550d7,4,dita_body:51f75bb528ff13fc0bc2,en/KA-05227_EN/ka-05227_summary.dita,en,en/KA-05227_EN/ka-05227_summary.dita#/conbody
KMT,body_en,body_en_cluster_dita_body:94d2e2dc0b229e4550d7,4,dita_body:06b19acf3c4b162148be,en/KA-05248_EN/ka-05248_background.dita,en,en/KA-05248_EN/ka-05248_background.dita#/conbody
