instance_id,language,article_id,source_path,topic_type,topic_title,body_tag,body_element_id,word_count,conref_targets,text
dita_body:8c0ecd34af54f6f4dd27,en,KA-01029_EN,KA-01029_EN/ka-01029__addressing_guidelines.dita,concept,Addressing guidelines,conbody,,404,common_notes/note_c_0001.dita#note_c_0001/body|common_notes/note_c_0002.dita#note_c_0002/body,"Accurate addresses reduce costs for the Department by reducing the amount of correspondence returned by Canada Post. To avoid a surcharge from Canada Post, addresses in ITRDS must meet the addressing guidelines provided by Canada Post. For more information, refer to Addressing Guidelines Internal link . Addressing Guidelines The most common mistake in address formatting occurs when the apartment or suite information is entered. The correct format for a Canadian address with apartment or suite information requires the apartment or suite number to appear: before the civic address number; with a hyphen in between; without spaces; without the word “Suite”; and without the “#” symbol. Table 1. Address Standards Correct Incorrect 401-70 ROYAL OAK PLAZA NW 401 70 ROYAL OAK PLAZA NW 7-2019 TRAWLEN WAY 7 – 2019 TRAWLEN WAY 2-805 CONCESSION ST 805 CONCESSION ST NO 2 5-302 NORTH RIVER RD SUITE 5, 302 NORTH RIVER ROAD 5-302 NORTH RIVER RD SUITE 5 5-302 NORTH RIVER RD 3-245 MONTREAL RD #3, 245 MONTREAL ROAD When a client has provided their civic address in addition to PO Box information, enter the civic address in the Home address fields and the PO Box information in the Mailing address fields on the Modify Address / Direct Deposit screen. The standard format of a Home address is the following: the client's name; their civic address; and municipality name, province or territory and postal code. The standard format of a Mailing address is the following: the client's name; their civic address or their PO Box number and the station information (if applicable); and municipality name, province or territory and postal code. When a client has provided their civic address in addition to PO Box information and both are within the same community (i.e. they have the same postal code and are in the same town or city), combine and enter the civic address and PO Box information in the Mailing address fields on the Modify Address / Direct Deposit screen. Once a client's address is changed, the old address information is moved to the Address History screen. Preferred official language When you modify a client's address, ensure that the address is entered in their preferred official language, which can be found in the Written Language field on the Client Profile screen in ITRDS . By using the client's preferred official language, the Department complies with the requirements of the Official Languages Act and avoids Official Language complaints. Address Guidelines for a Client's Preferred Language"
dita_body:26592305ba94d5579624,en,KA-01029_EN,KA-01029_EN/ka-01029__cascading_addresses.dita,concept,Cascading addresses,conbody,,158,,"An address cascade is when an update is made to one account and the change automatically transfers to another related account. The address cascades in ITRDS are based on the interrelationships in the client's account (i.e. related CPP child accounts with the same payee client identifier). Even if the interrelationship is no longer active, a change to the address on one account will continue to cascade to the related account until that relationship is severed or a new address is added to the related account. When changing the address, you must consider: If the client has an interrelated spouse, ensure that the spouse's benefits are not affected by the changes. Address changes for a child under the age of 18 (-18 child) cannot be made on the child's Client Profile screen. They must be made from the account of the person who is receiving the payment on the child's behalf, or on the child's Contact / Applicant screen."
dita_body:94fd4266b69262b4f7fe,en,KA-01029_EN,KA-01029_EN/ka-01029__delete_future_address_andor_direct_deposit.dita,task,Delete Future Address and/or Direct Deposit,taskbody,,91,,"To delete a future address or direct deposit, click Delete in the Address / Direct Deposit block. The Delete Future Address and/or Direct Deposit screen opens. Select the appropriate address or direct deposit. Click Save . The Client Profile screen opens. To delete an existing direct deposit, click Modify in the Address / Direct Deposit block. The Modify Address / Direct Deposit screen opens. Enter the Start Date (YYYYMMDD). This field is prefilled with the current date. Enter the Receipt Date (YYYYMMDD). Update the Direct Deposit block. Click Save . The Client Profile screen opens."
dita_body:1d389dd25f6bf1aa6973,en,KA-01029_EN,KA-01029_EN/ka-01029__glossary.dita,reference,Glossary,refbody,,5,,Home address Mailing address Payee
dita_body:bb5ed0c5c9cdf3d62651,en,KA-01029_EN,KA-01029_EN/ka-01029__payment_destination.dita,concept,Payment destination,conbody,,162,,"Effective June 1, 2024, applicants are able to add the account holder name(s) to the direct deposit section for online CPPD benefits, RTR pension and SVR pension applications if the direct deposit information does not exist in ITRDS . For more information, refer to My Service Canada Account (Knowledge) and to My Service Canada Account (Knowledge) Online Applications for CPP (Knowledge) The Mailing address field indicates the correspondence address and payment destination when the client receives their payments by paper cheque. When the client wishes to receive their payments by direct deposit, there is no change to the mailing address. To send the Mailing address or Direct Deposit update from ITRDS to Cúram, select Share with CURAM when modifying the information. Modifying the Home address fields will not affect the existing Mailing address (i.e. paper cheque) or Direct Deposit fields. If no mailing address has been added to the account, the Home address will be copied to the Mailing address fields."
dita_body:92dbecab73cc21b3755a,en,KA-01029_EN,KA-01029_EN/ka-01029__summary.dita,concept,Summary,conbody,,12,,"Modify a client's home address, mailing address or payment destination in ITRDS ."
dita_body:a381ae7b1a20a9466f28,en,KA-01029_EN,KA-01029_EN/ka-01029__third_party_payee.dita,concept,Third Party Payee,conbody,,148,common_notes/note_c_0003.dita#note_c_0003/body,"If the client has a payee contact (e.g. a trustee), you cannot modify the payee's mailing address or payment destination on the Modify Address / Direct Deposit screen. You must update the third party contact information on the Contact / Applicant screen in ITRDS . Once completed, the payee's mailing address or payment destination will be displayed on the Client Profile screen instead of the client's mailing or payment destination address. If you need to add a payee contact, Third Party Contact—Payee (Scenario) Updating the client's address to remove a payee contact If the client has a payee contact in ITRDS receiving payments on their behalf, the payee's mailing address will be displayed on the Client Profile screen. Once you have determined the client can receive their own correspondence and payments, updating the client's Mailing address and payment destination on the Modify Address / Direct Deposit will remove the existing payee."
dita_body:cc2720e734ff0d07600f,en,KA-01029_EN,KA-01029_EN/ka-01029__what_you_need_to_do.dita,task,What you need to do,taskbody,,942,common_notes/note_c_0004.dita#note_c_0004/body|common_notes/note_c_0005.dita#note_c_0005/body|common_notes/note_c_0006.dita#note_c_0006/body,"In ITRDS , click Client Profile from the institutional bar. The Client Profile screen opens. To delete a future address or direct deposit, go to the Delete Future Address and/or Direct Deposit section below. To modify the address or payment address information, click Modify in the Address / Direct Deposit block. The Modify Address / Direct Deposit screen opens. Modify the home address as follows: Table 2. Data Capture Field Direction Start Date This field is prefilled with the current date. Only modify the Start Date if: the client requests that the Start Date be a future date; you are processing a child's benefit application for a child over the age of 18 (+18) who was previously in pay for a child's benefit for a child under the age of 18 (-18 child); or you are paying the -18 child directly. If the Canada Pension Plan Child’s Benefit Application and Declaration for a Student Over 18 years of Age in Attendance at School or University (ISP-1402) form is received before the month of the child’s 18th birthday, bring forward ISP-1402 form to the first day of the month following the child’s 18th birthday. Do not use the future date functionality in these situations. YYYYMMDD Receipt Date Enter the notification receipt date. YYYYMMDD Country Select the Country . If the address is being updated from Canada to a foreign country, a client's entitlement to the OAS pension and benefits may be impacted. Postal Code This field is mandatory when the Country is Canada . Enter the Postal Code and click Search . If there is more than one result, click the button next to the correct address in the Search Results block. This will prefill Address Lines 1 , 2 and the Province . Enter the civic number (e.g. home, suite or apartment number). If there is no matching postal code search result, select Validate Later next to Override and manually enter the full address. Quebec postal code searches can appear in English rather than in French (e.g. De Tracy Blvd. rather than boul. de Tracy). In this case, select Validate Later or Validate Never for Override and enter the address manually. A1A1A1 Override The drop down is only available when the Country is Canada . An error message appears if an address cannot be validated. Select Validate Later if the address is correct. This will include the address in the Canada Post Corporation correction process. Select Validate Never if you cannot verify that the address is correct or that the address is not an official place of residence (e.g. a basement apartment). The address will be excluded from the Canada Post Corporation correction process and its accuracy will not be verified. Click Save . Additional Information This field is available when the Country is Canada . Enter the floor number, the building name and any other information required for mailing purposes, if applicable. Address Lines 1, 2, 3 and 4 Enter the suite, residence or apartment number and the street name, as required. Do not enter the Province or the Postal Code in address lines 1, 2, 3 or 4. These fields are prefilled if you used the Postal Code search. The entry field is alphanumeric. Province This dropdown is only available when the Country is Canada . A Postal Code search prefills the dropdown. Mailing Same as Home Click Yes when the home address is the same as the mailing address. Clicking Yes populates the Mailing address fields with the same address as the home address. If the mailing address is different, click Expand to open the Mailing block. Repeat the steps indicated in this table to enter the mailing address. Share with CURAM Optional Click Share with CURAM to share the mailing address to Cúram when the client has a Cúram identification number. Home Telephone Enter the client's home telephone number, if provided. The format must be numerical and up to 10 digits. Do not include hyphens. Ext: up to 5 digits Overseas Code: up to 5 digits Only one telephone number can be added to this field. If the client provided more than one number, ensure that all telephone numbers are entered in ITRDS . Refer to Telephone Number or Email Address—Add or Modify in ITRDS (Action) . Telephone Number or Email Address—Add or Modify in ITRDS (Action) Delete Check Delete if the home telephone number is incorrect. Click Save . If any of the following messages appear, take the appropriate action: Table 3. Messages and Follow-Up Actions Message Action Mailing Address may need to be updated due to change in Home Address. Click OK to continue or click Cancel to remain on the Modify Address / Direct Deposit screen, as applicable. Payee information must be updated using Contact / Applicant screen. Saving new address will end existing payee. Do you wish to save new address and end the payee? This message appears if the payee was a contact or an applicant. Click OK to continue and end the existing payee or click Cancel to return to the Modify Address / Direct Deposit screen. You are about to pay the child directly. OK to continue? Click OK to continue and pay the child directly or click Cancel to return to the Modify Address / Direct Deposit screen. Interrelationships may need to be updated since child is receiving payment directly. Click OK to continue or click Cancel to return to the Modify Address / Direct Deposit screen. Click OK to return to the Client Profile screen or click Cancel to remain on the Modify Address / Direct Deposit screen. Modify the direct deposit information, if applicable. Refer to Domestic (Canadian) Direct Deposit—Add or Modify in ITRDS (Action) . Domestic (Canadian) Direct Deposit—Add or Modify in ITRDS (Action) Click Save ."
dita_body:a38ec2940b6095c579b0,en,KA-01029_EN,KA-01029_EN/ka-01029__what_you_need_to_know.dita,concept,What you need to know,conbody,,98,,"Effective March 10, 2025, you can enter 3 unique addresses in ITRDS for the client ( Home , Mailing and Direct Deposit ). Adding a Mailing address to the client's account will not change the payment destination from direct deposit to paper cheque. When updating a client's address, it is important to be aware of when a change of address can affect a client's entitlement. For example, a change of address resulting from a client's departure from or return to Canada can affect their continuing eligibility to OAS benefits. Clients who live outside of Canada may be subjected to non-resident tax."
dita_body:61df83b02703f8880397,en,KA-01037_EN,KA-01037_EN/ka-01037__exceptions_and_special_cases.dita,concept,Exceptions and special cases,conbody,,17,,There are no exceptions or special cases. (KA-01098 Snippet 12.0 content. Do not modify or delete.)
