item1_index,item2_index,item1_node_id,item2_node_id,embedding_similarity
4695,15199,KMT:dita_body:ebeb2dac049d6e5688eb,ORT:dita_body:19f603f35e79456fb412,0.8485226631164551
4695,14198,KMT:dita_body:ebeb2dac049d6e5688eb,ORT:dita_body:c58b87a278e725a55f26,0.84271639585495
1452,25507,KMT:dita_body:51a9d7686e86740bcfa2,ORT:dita_body:35c7d241f36bd2a5364d,0.8334038853645325
2395,23836,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:95fe73f322f59206f812,0.8330448865890503
300,9050,KMT:dita_body:0fb7934e14c6a4f2b0e6,ORT:dita_body:073b90ee6c5c61d488d8,0.8308641314506531
4510,10962,KMT:dita_body:98c444ddb82775609b78,ORT:dita_body:f0c816f6e29129894209,0.8300115466117859
6702,12616,KMT:dita_body:a00b7b5092212949cc83,ORT:dita_body:70ee4f7e066c7dddc3d1,0.8294306993484497
3171,9547,KMT:dita_body:4740eda1dab572571885,ORT:dita_body:26025056916dd0fde4ff,0.8250570893287659
4582,9464,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:aa1793b885e653d1cd98,0.8250083923339844
177,26735,KMT:dita_body:80f018b51fa8409c7fa8,ORT:dita_body:642d0aad679cfc5077ca,0.8249213099479675
178,26735,KMT:dita_body:4b481f277258aec97e28,ORT:dita_body:642d0aad679cfc5077ca,0.8249213099479675
6619,9464,KMT:dita_body:7c91be51ee75d99e4275,ORT:dita_body:aa1793b885e653d1cd98,0.8233861923217773
6806,10280,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:cc4f1c74bafcd0f2625f,0.8224465250968933
7223,21635,KMT:dita_body:902998f2dd87eb61e708,ORT:dita_body:fcdc78b5953fc582287b,0.8204053640365601
6512,9464,KMT:dita_body:f6dd9ecd16c270c497ee,ORT:dita_body:aa1793b885e653d1cd98,0.8202258944511414
820,23221,KMT:dita_body:cd2f40f69a673997b6ea,ORT:dita_body:289bf14335ee08840c45,0.8192713260650635
2395,14333,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:ba5e537979532d3b976f,0.8190978169441223
1622,8863,KMT:dita_body:d4f9d8602088b74a4d0b,ORT:dita_body:09fc46de25c0df7858b5,0.8187476992607117
2724,20895,KMT:dita_body:0ac5ef7adb456e04f5cb,ORT:dita_body:9acb9a8500b42e93cfe0,0.8187128305435181
6806,16989,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:d51369fbcf7d5e148ca5,0.8186854720115662
6792,9547,KMT:dita_body:bae4996db8389f1c1ab6,ORT:dita_body:26025056916dd0fde4ff,0.8185129165649414
7031,8863,KMT:dita_body:eb9c5afa1fbe4a73e4cc,ORT:dita_body:09fc46de25c0df7858b5,0.8180764317512512
4495,10990,KMT:dita_body:b39dc7cc22d3b3ba06a7,ORT:dita_body:7e3214fb2d9b056ea27b,0.8180698752403259
8004,10279,KMT:dita_body:fac21f22885358dc4014,ORT:dita_body:7806f0dba65152801695,0.817645251750946
7172,18886,KMT:dita_body:0935d7fe312ad9e34c0c,ORT:dita_body:4c1dfbb07294e3de70b5,0.8174004554748535
7476,10280,KMT:dita_body:fa2cdee68d1e45953c50,ORT:dita_body:cc4f1c74bafcd0f2625f,0.817308783531189
5092,10962,KMT:dita_body:7ae63eb8517f2de625bc,ORT:dita_body:f0c816f6e29129894209,0.8153508305549622
2060,23051,KMT:dita_body:5636b2dbc4fb44ba2ff9,ORT:dita_body:3fca4bc669c10f7c60b4,0.8142660856246948
4711,9547,KMT:dita_body:bec5a05ca1e8f871e3cb,ORT:dita_body:26025056916dd0fde4ff,0.8133180737495422
7172,18887,KMT:dita_body:0935d7fe312ad9e34c0c,ORT:dita_body:cd8cc4454e42f83d1c4f,0.8128456473350525
4587,9547,KMT:dita_body:44ec448ab038b7329dd7,ORT:dita_body:26025056916dd0fde4ff,0.8122578859329224
6193,9464,KMT:dita_body:a274c205e29a65c59244,ORT:dita_body:aa1793b885e653d1cd98,0.812129557132721
1827,11008,KMT:dita_body:9570d38494b3519dc5e8,ORT:dita_body:5f498033cba79343a9fc,0.8117212653160095
7476,25239,KMT:dita_body:fa2cdee68d1e45953c50,ORT:dita_body:880494dd8183eb412870,0.8115412592887878
7972,10581,KMT:dita_body:4ccfd40b268347168e8e,ORT:dita_body:93fad99e7a1fe2c33bec,0.8112834095954895
4582,9214,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:ee0a270782f2c02caed7,0.8110290169715881
2724,14707,KMT:dita_body:0ac5ef7adb456e04f5cb,ORT:dita_body:c32c2d76f0208cd125dd,0.8109496831893921
2838,8966,KMT:dita_body:a37aa0cd04a4b6e7bfd9,ORT:dita_body:ed7f9e10dff30955af2b,0.8109257817268372
7222,21635,KMT:dita_body:c33d8d3272eb2f3dcc74,ORT:dita_body:fcdc78b5953fc582287b,0.8106423616409302
7195,18886,KMT:dita_body:e7b170e05aeb32077b86,ORT:dita_body:4c1dfbb07294e3de70b5,0.8105455636978149
2015,9547,KMT:dita_body:0a99ca915f5b4ba56444,ORT:dita_body:26025056916dd0fde4ff,0.8105342984199524
780,11818,KMT:dita_body:e46525350fcc1fe5ffd1,ORT:dita_body:5cf03c14db46e3c6ea25,0.8098276257514954
6202,9464,KMT:dita_body:6bd8e511acee0cf7a668,ORT:dita_body:aa1793b885e653d1cd98,0.80959153175354
7195,18887,KMT:dita_body:e7b170e05aeb32077b86,ORT:dita_body:cd8cc4454e42f83d1c4f,0.8095672130584717
6316,25471,KMT:dita_body:6d727bf0713f4b7bd879,ORT:dita_body:4af5b0fe1dd0e15b3b72,0.8095571994781494
4336,11008,KMT:dita_body:779e0c8693afe42c0889,ORT:dita_body:5f498033cba79343a9fc,0.809507429599762
7773,9464,KMT:dita_body:02778ad407d6aaa874ae,ORT:dita_body:aa1793b885e653d1cd98,0.8092694282531738
6196,9464,KMT:dita_body:90b1b75fcc0b9996a74b,ORT:dita_body:aa1793b885e653d1cd98,0.8092049360275269
4582,9154,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:2566d94b59e0c88f47ec,0.8091152906417847
2064,22879,KMT:dita_body:d1af2839d75f4726dd24,ORT:dita_body:abf39df1b43ec515e062,0.8083521723747253
6806,20748,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:2690cdbc0e28edff6070,0.8080215454101562
7221,21635,KMT:dita_body:e174cda929bafafa6a6c,ORT:dita_body:fcdc78b5953fc582287b,0.8079646229743958
3174,9547,KMT:dita_body:2d9dff264b261ea720af,ORT:dita_body:26025056916dd0fde4ff,0.8071759939193726
6806,20828,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:8f64e71414deae573668,0.806273877620697
6806,20861,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:81e92b86483630540be4,0.806273877620697
4582,10581,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:93fad99e7a1fe2c33bec,0.806218683719635
6619,9547,KMT:dita_body:7c91be51ee75d99e4275,ORT:dita_body:26025056916dd0fde4ff,0.8051415681838989
2395,14976,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:2952bb5c7ddc01e52e3f,0.804987370967865
2395,15082,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:4de1eff08556d58790e9,0.804987370967865
2395,15135,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:184dbe478d97b4d4f18b,0.804987370967865
2395,15187,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:841b78582567016db80b,0.804987370967865
1383,25434,KMT:dita_body:49a56d9bedd6a705212a,ORT:dita_body:6a5956d44ce8b44d4573,0.8048374056816101
2395,15001,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:ef20346a818861a9b785,0.8042024374008179
2395,14950,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:a7532cc6c7f32673d658,0.8040790557861328
4582,9547,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:26025056916dd0fde4ff,0.8038861751556396
6806,20790,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:1a6b245bf98145ec9b02,0.803600549697876
2395,15106,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:a987fd4a24472f7fa4da,0.8034009337425232
3083,12220,KMT:dita_body:4bbfcec6e7e3622143a5,ORT:dita_body:1601baf2c0869b07ff8a,0.802798867225647
1565,8863,KMT:dita_body:6659febfbd1dbed2ce7f,ORT:dita_body:09fc46de25c0df7858b5,0.8026459217071533
1666,8863,KMT:dita_body:122c09ed9a1f66156370,ORT:dita_body:09fc46de25c0df7858b5,0.8026459217071533
2502,8863,KMT:dita_body:5fa89e6334820f0c43c2,ORT:dita_body:09fc46de25c0df7858b5,0.8026459217071533
2719,8867,KMT:dita_body:464208007167a5a30959,ORT:dita_body:72fa96729adf4664b7bb,0.8020802140235901
810,11452,KMT:dita_body:8117e43dff16bf3d67f1,ORT:dita_body:17e24a626f7dd75883e9,0.802006721496582
152,26735,KMT:dita_body:a506880dff6ba0bb38c5,ORT:dita_body:642d0aad679cfc5077ca,0.8017790913581848
7476,25244,KMT:dita_body:fa2cdee68d1e45953c50,ORT:dita_body:3a75fe591f1cafe9067e,0.8016820549964905
5486,9547,KMT:dita_body:8d2a08a94ff34962996e,ORT:dita_body:26025056916dd0fde4ff,0.8011371493339539
7296,12957,KMT:dita_body:437954cb52f0fde2297f,ORT:dita_body:d991a537c6c024c0e61d,0.800872802734375
2719,14718,KMT:dita_body:464208007167a5a30959,ORT:dita_body:8e2c47ce69f1960bb8e7,0.8000935912132263
6702,12333,KMT:dita_body:a00b7b5092212949cc83,ORT:dita_body:2e1c65ab7d1339af8969,0.799915611743927
7524,9547,KMT:dita_body:1b79f991e6d57477e0a4,ORT:dita_body:26025056916dd0fde4ff,0.7997177243232727
7478,10280,KMT:dita_body:b99cf3a61aab59c9909a,ORT:dita_body:cc4f1c74bafcd0f2625f,0.7993513941764832
8017,9547,KMT:dita_body:abca29c8042fee5e4882,ORT:dita_body:26025056916dd0fde4ff,0.7993465662002563
1687,8863,KMT:dita_body:8a8e71ede63d64edd0f0,ORT:dita_body:09fc46de25c0df7858b5,0.7991745471954346
1113,23149,KMT:dita_body:6e732f679fbc95f8af99,ORT:dita_body:6f7bcf19effd725f8fa3,0.7989330291748047
3824,9547,KMT:dita_body:2970d12a8d416234968b,ORT:dita_body:26025056916dd0fde4ff,0.7988097071647644
1355,14718,KMT:dita_body:5e743de0be6e02ddc9f2,ORT:dita_body:8e2c47ce69f1960bb8e7,0.7985817790031433
2636,20527,KMT:dita_body:5e520a7265be2561a596,ORT:dita_body:d106e6031ef5012cc611,0.7972745895385742
2395,22583,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:a31f0d451bb0d1f7dc09,0.7971203923225403
8130,9717,KMT:dita_body:c433c52ebe0f0b91b934,ORT:dita_body:091382e23965f82e9191,0.7970681190490723
6792,9154,KMT:dita_body:bae4996db8389f1c1ab6,ORT:dita_body:2566d94b59e0c88f47ec,0.7964114546775818
6195,9464,KMT:dita_body:7ea5029cc236a24bcbbc,ORT:dita_body:aa1793b885e653d1cd98,0.7960164546966553
4582,9263,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:c9ab4db05246246d7117,0.7957258224487305
5183,9661,KMT:dita_body:25f0719d008015e077aa,ORT:dita_body:9efa730c0e4e4aabafdb,0.7954850792884827
3220,13948,KMT:dita_body:cf820b7c12e3269f90e2,ORT:dita_body:6508f2041eca0a9e05ba,0.7952589988708496
1451,19361,KMT:dita_body:c00452a4ac97c75a58c8,ORT:dita_body:86d9e967286a2d8da781,0.7951806783676147
1451,19378,KMT:dita_body:c00452a4ac97c75a58c8,ORT:dita_body:c46abb970e142274da32,0.7951806783676147
197,11818,KMT:dita_body:57b9aeed301cb594d466,ORT:dita_body:5cf03c14db46e3c6ea25,0.7951534986495972
6316,20118,KMT:dita_body:6d727bf0713f4b7bd879,ORT:dita_body:d7f5f07032cfab4fdc2d,0.795111358165741
8017,9464,KMT:dita_body:abca29c8042fee5e4882,ORT:dita_body:aa1793b885e653d1cd98,0.7949098944664001
5666,8863,KMT:dita_body:df4445d9eb2c1508d333,ORT:dita_body:09fc46de25c0df7858b5,0.7948484420776367
6806,20758,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:629f47a88079ffa0155b,0.7944560050964355
2735,23079,KMT:dita_body:9259be247ee1c8736c01,ORT:dita_body:3abc91fd04672c0ee859,0.7944463491439819
7478,25239,KMT:dita_body:b99cf3a61aab59c9909a,ORT:dita_body:880494dd8183eb412870,0.7942280173301697
7172,20463,KMT:dita_body:0935d7fe312ad9e34c0c,ORT:dita_body:1ac1fe797166eb89c222,0.7939053773880005
5417,23221,KMT:dita_body:2e674d48f23614617059,ORT:dita_body:289bf14335ee08840c45,0.7937967777252197
1385,21666,KMT:dita_body:f4d443c727ac9c5d94e5,ORT:dita_body:fb2acb95e355c3abbcd4,0.7932766079902649
7527,9154,KMT:dita_body:0b4bd7ac023491b3a5ed,ORT:dita_body:2566d94b59e0c88f47ec,0.793042004108429
2760,8836,KMT:dita_body:483b2ad77e58b471ea89,ORT:dita_body:e14a5d65f7a45c5d26e1,0.7930081486701965
7172,25244,KMT:dita_body:0935d7fe312ad9e34c0c,ORT:dita_body:3a75fe591f1cafe9067e,0.7922376990318298
4345,22879,KMT:dita_body:f7f951a2cecd145c67c7,ORT:dita_body:abf39df1b43ec515e062,0.7915879487991333
7223,21638,KMT:dita_body:902998f2dd87eb61e708,ORT:dita_body:de16f2a41b6a77b7ea7e,0.7915428876876831
1113,17442,KMT:dita_body:6e732f679fbc95f8af99,ORT:dita_body:3f627d6f09865bea7467,0.7914866805076599
4753,12275,KMT:dita_body:7645cc85c591103e96ba,ORT:dita_body:22668875a9c53f42bf73,0.7913938760757446
3068,22673,KMT:dita_body:253dd48576a677b75f28,ORT:dita_body:7d7be4d5b9687e80de79,0.791334867477417
7478,25244,KMT:dita_body:b99cf3a61aab59c9909a,ORT:dita_body:3a75fe591f1cafe9067e,0.7912935018539429
4482,12905,KMT:dita_body:d4af207075ba35590098,ORT:dita_body:240c329be83c611042bb,0.7911966443061829
5651,10280,KMT:dita_body:63459da099e918ec171b,ORT:dita_body:cc4f1c74bafcd0f2625f,0.791134774684906
3068,22632,KMT:dita_body:253dd48576a677b75f28,ORT:dita_body:003fb8c00936a205d291,0.7910800576210022
2395,24408,KMT:dita_body:8364d3308a63f55b0c8a,ORT:dita_body:253396d54bc7f0f8bf21,0.7910701036453247
6202,9263,KMT:dita_body:6bd8e511acee0cf7a668,ORT:dita_body:c9ab4db05246246d7117,0.7909330129623413
4883,22695,KMT:dita_body:fc02791bd748d9315f57,ORT:dita_body:ef8695c4026122ba61ec,0.790847659111023
7172,25239,KMT:dita_body:0935d7fe312ad9e34c0c,ORT:dita_body:880494dd8183eb412870,0.7908285856246948
1113,23225,KMT:dita_body:6e732f679fbc95f8af99,ORT:dita_body:2729812af73c145b93f6,0.7907593846321106
6806,16798,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:6ff3d26970823a697873,0.7907353043556213
6806,20732,KMT:dita_body:f8c568411920a5f24ac5,ORT:dita_body:09551fafa3c2a06d190d,0.7903115153312683
5674,10280,KMT:dita_body:e7bca0a6653401be0673,ORT:dita_body:cc4f1c74bafcd0f2625f,0.7899192571640015
6792,10057,KMT:dita_body:bae4996db8389f1c1ab6,ORT:dita_body:a65234a3a7eb06aef9de,0.7898821234703064
7222,21639,KMT:dita_body:c33d8d3272eb2f3dcc74,ORT:dita_body:647cb4616c13e8e7ae8a,0.789761483669281
7222,21638,KMT:dita_body:c33d8d3272eb2f3dcc74,ORT:dita_body:de16f2a41b6a77b7ea7e,0.7895248532295227
7366,18886,KMT:dita_body:a0883c468a76488d60a4,ORT:dita_body:4c1dfbb07294e3de70b5,0.7894094586372375
6193,9470,KMT:dita_body:a274c205e29a65c59244,ORT:dita_body:56f0829eeb60ff97548f,0.7892521619796753
7738,13946,KMT:dita_body:109ebc13c2d6de0cb6f8,ORT:dita_body:98dee268ba3753d4c17f,0.7886468172073364
4336,13866,KMT:dita_body:779e0c8693afe42c0889,ORT:dita_body:2175bba618787a84b0d0,0.7884858846664429
3068,22631,KMT:dita_body:253dd48576a677b75f28,ORT:dita_body:0b6a4f126845f68d43a5,0.7884004712104797
6782,9154,KMT:dita_body:779bf69334b281fef72b,ORT:dita_body:2566d94b59e0c88f47ec,0.7880848050117493
2015,9214,KMT:dita_body:0a99ca915f5b4ba56444,ORT:dita_body:ee0a270782f2c02caed7,0.7880693078041077
1451,22688,KMT:dita_body:c00452a4ac97c75a58c8,ORT:dita_body:bcbc6cd671b2db5f769d,0.788017749786377
89,20530,KMT:dita_body:73e210e8686424452e73,ORT:dita_body:d8d223f7986f6d196f40,0.787950336933136
8004,10264,KMT:dita_body:fac21f22885358dc4014,ORT:dita_body:f0321d37447f1e2c0323,0.7872796058654785
5153,13573,KMT:dita_body:493bb5eed693fb3287e0,ORT:dita_body:014cc863117b4a7c35ca,0.7871528267860413
1113,17448,KMT:dita_body:6e732f679fbc95f8af99,ORT:dita_body:4938dc461549fe40fb61,0.7870704531669617
5454,9547,KMT:dita_body:f2d74a6403dfdb1983e8,ORT:dita_body:26025056916dd0fde4ff,0.7867515683174133
1355,9582,KMT:dita_body:5e743de0be6e02ddc9f2,ORT:dita_body:587609f412788168d06e,0.7867364287376404
2574,9146,KMT:dita_body:3ba659615d9ece5f4f44,ORT:dita_body:cd97496a2a00feb90f4c,0.7866576910018921
3068,22674,KMT:dita_body:253dd48576a677b75f28,ORT:dita_body:2b470189e91e99f714d3,0.7866551876068115
1837,23110,KMT:dita_body:731fb729ccc60bbfeee0,ORT:dita_body:29232c284c4519b0a651,0.7864159941673279
1006,11818,KMT:dita_body:d2eb9fa3f33bdf69b21c,ORT:dita_body:5cf03c14db46e3c6ea25,0.7863913774490356
5504,9214,KMT:dita_body:2850828e5bb58920a655,ORT:dita_body:ee0a270782f2c02caed7,0.7863871455192566
7173,18886,KMT:dita_body:8f2bccfe38278dc4ea0a,ORT:dita_body:4c1dfbb07294e3de70b5,0.7860350608825684
4582,8640,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:bee130341edb42a0c995,0.7860268950462341
6782,9155,KMT:dita_body:779bf69334b281fef72b,ORT:dita_body:35daf063eb52f31c2477,0.7858278751373291
4582,9155,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:35daf063eb52f31c2477,0.7856311798095703
4582,24045,KMT:dita_body:50d4456be5681c5cc6aa,ORT:dita_body:9b37e9c7780d409306dd,0.7855775356292725
6720,9464,KMT:dita_body:1c1abb8ad32023000111,ORT:dita_body:aa1793b885e653d1cd98,0.7854695320129395
2015,13227,KMT:dita_body:0a99ca915f5b4ba56444,ORT:dita_body:ccfd9493beffa10601d2,0.7853267788887024
2125,17332,KMT:dita_body:94c7377091bfc1ad0895,ORT:dita_body:99101f458fcd1bf48b25,0.7852150797843933
7366,18887,KMT:dita_body:a0883c468a76488d60a4,ORT:dita_body:cd8cc4454e42f83d1c4f,0.7850056290626526
