cluster_label,document_type,count
-1,task,73
-1,generic,56
-1,activity,14
-1,subactivity,7
0,subactivity,12
0,activity,3
0,task,3
0,generic,1
1,generic,61
1,task,3
1,activity,1
2,task,15
2,activity,1
3,task,20
3,activity,6
3,generic,1
4,task,10
4,generic,4
4,activity,1
5,generic,24
5,task,23
5,activity,6
6,task,30
6,activity,10
6,generic,10
7,task,31
7,generic,9
7,activity,3
7,subactivity,1
8,task,16
8,activity,6
8,generic,2
9,task,16
9,activity,5
9,generic,1
10,task,26
10,generic,10
10,activity,2
11,generic,10
11,task,7
12,task,49
12,activity,7
12,generic,2
13,task,14
13,generic,11
13,activity,1
14,generic,15
14,task,5
14,activity,1
15,task,35
15,activity,5
15,generic,5
16,task,54
16,activity,14
16,generic,7
16,subactivity,3
17,task,13
17,generic,6
17,activity,2
18,task,16
18,activity,4
19,task,25
19,generic,13
19,activity,9
